source,target,weight
1186760931558051840,1197337272879927296,1
1186760931558051840,1218767468954411011,1
1186760931558051840,1331018240470917120,2
1186760931558051840,70740986,1
1186760931558051840,91441711,1
1187823730875129856,1304051396942139397,1
1188256152104124421,1218767468954411011,1
1188256152104124421,1269080288845537281,1
1188256152104124421,233240979,1
1188256152104124421,2837317176,1
1188256152104124421,2863151596,1
1188256152104124421,305297346,1
1188256152104124421,73463687,1
1188256152104124421,756231562358886400,1
1188256152104124421,791765988,1
1188380604892508160,1151340112955019265,2
1190785382796943360,1151340112955019265,8
1190785382796943360,1331018240470917120,2
1190785382796943360,967299284235440128,2
1192247216439644160,70740986,1
1192247216439644160,89282580,1
1192545785679896576,3330717731,1
1193982607920381952,1151340112955019265,4
1194444227289255943,1241600060988760067,1
1194754594644979712,1218767468954411011,1
1194858901444935685,1358407609166950401,1
1195190350358429696,1348087687148953601,1
119699026,1230586851322482688,1
119699026,1331018240470917120,5
119699026,70740986,1
1197337272879927296,1331018240470917120,1
1197554626964475910,1348087687148953601,1
1197591800678158336,1218767468954411011,1
1197591800678158336,1304051396942139397,1
119909174,70740986,1
1199149449047662596,1017628083111845888,1
1199149449047662596,1151340112955019265,3
1199149449047662596,1276082192293269504,1
1199149449047662596,1512446430,1
1199149449047662596,16573941,1
1199149449047662596,19409508,1
1199149449047662596,451131659,1
1199149449047662596,70740986,1
1199149449047662596,757695091,1
1199149449047662596,834477656989106183,1
1199149449047662596,920903952539021313,1
1199149449047662596,938424931230060544,1
1199149449047662596,963631905878036482,1
1199834513196535809,400539441,1
1199834513196535809,70740986,1
120183005,347787490,1
120184545,3427398129,1
120184545,482431527,1
120184545,8824552,1
1201914678,4868058556,1
1202025645624176642,400539441,1
1202025645624176642,70740986,1
120205286,1218767468954411011,1
1202228284202913792,1017628083111845888,1
1202228284202913792,1151340112955019265,1
1202228284202913792,1276082192293269504,1
1202228284202913792,1512446430,1
1202228284202913792,16573941,1
1202228284202913792,19409508,1
1202228284202913792,451131659,1
1202228284202913792,70740986,1
1202228284202913792,757695091,1
1202228284202913792,834477656989106183,1
1202228284202913792,920903952539021313,1
1202228284202913792,938424931230060544,1
1202228284202913792,963631905878036482,1
120237974,1130862791802404864,1
1202414643504910336,1218767468954411011,1
1202414643504910336,1304051396942139397,1
1202414643504910336,23680536,1
1202414643504910336,70740986,1
1203822967932801024,1240801776674242566,1
1203952514497802241,1151340112955019265,2
1203952514497802241,1304051396942139397,1
1203952514497802241,967299284235440128,3
1204172807325786113,23680536,1
1204172807325786113,70740986,1
1205256728729796610,284145375,1
1205604773099114496,16461837,1
1205604773099114496,25198847,1
1205669094873128960,1151340112955019265,3
1205669094873128960,1512446430,1
1205669094873128960,15792387,1
1205669094873128960,451131659,1
1205669094873128960,70740986,1
1206356925421703173,72973361,1
1206430402610638849,1218767468954411011,2
1206996309065879553,23680536,1
1206996309065879553,70740986,2
1207015897778442240,1291894127928336384,1
1207858644970328065,89282580,1
1208220572154548224,1151340112955019265,1
1208220572154548224,1512446430,1
1208220572154548224,70740986,1
120958624,1218767468954411011,1
120958624,19608297,1
120958624,70740986,1
1209638520958210048,1151340112955019265,2
1209638520958210048,70740986,1
1210029470062657536,1105838381622329344,1
1210106455,497591536,1
1210106455,89282580,1
1210281522244272128,1035190563744743425,1
1210416839794274305,23680536,1
1210416839794274305,70740986,1
1211652249669099520,1218767468954411011,1
1211699909713248260,1218767468954411011,1
1211772301294755840,1079344570331267072,1
1211772301294755840,1250554778809237505,1
1211772301294755840,19608297,1
1211772301294755840,70740986,6
1212198513213239297,1331018240470917120,3
1212198513213239297,4868058556,1
